hue_deg,R,G,B
0,246,37,111
1,246,37,110
2,246,37,109
3,246,37,107
4,246,37,106
5,246,37,104
6,246,37,103
7,246,37,102
8,246,38,101
9,246,38,99
10,246,39,98
11,246,39,96
12,246,40,95
13,246,41,94
14,246,42,93
15,245,42,91
16,245,43,90
17,245,44,89
18,245,45,88
19,245,46,86
20,245,47,85
21,244,47,84
22,244,48,83
23,243,49,81
24,243,50,80
25,242,51,79
26,242,52,78
27,242,53,76
28,242,54,75
29,241,55,74
30,241,57,73
31,240,58,71
32,240,59,70
33,239,60,69
34,238,61,68
35,237,62,66
36,237,63,65
37,236,64,64
38,236,65,63
39,235,66,62
40,235,67,61
41,234,68,60
42,233,70,59
43,232,71,57
44,232,72,56
45,231,73,55
46,230,74,54
47,229,75,53
48,228,76,52
49,227,77,51
50,227,78,50
51,226,79,49
52,225,80,48
53,224,81,46
54,223,82,45
55,222,83,44
56,221,84,43
57,220,85,42
58,219,86,41
59,218,87,40
60,217,88,39
61,216,89,38
62,215,90,37
63,214,91,36
64,213,92,36
65,212,93,35
66,211,94,34
67,210,95,33
68,209,96,32
69,208,97,31
70,207,98,30
71,205,98,29
72,204,99,29
73,203,100,28
74,202,101,27
75,201,102,26
76,200,103,26
77,198,103,25
78,197,104,24
79,196,105,23
80,195,106,23
81,194,107,22
82,193,108,22
83,191,108,21
84,190,109,21
85,189,110,20
86,188,111,20
87,186,111,19
88,185,112,19
89,183,113,19
90,182,114,19
91,181,114,19
92,180,115,19
93,178,115,19
94,177,116,19
95,176,117,19
96,175,118,19
97,173,118,19
98,172,119,19
99,170,119,19
100,169,120,20
101,168,120,20
102,167,121,21
103,165,121,21
104,164,122,22
105,162,123,22
106,161,124,23
107,160,124,24
108,159,125,25
109,157,125,25
110,156,126,26
111,154,126,27
112,153,127,28
113,152,127,28
114,151,128,29
115,149,128,30
116,148,129,31
117,146,129,32
118,145,129,33
119,144,129,34
120,143,130,35
121,141,130,36
122,140,131,37
123,138,131,38
124,137,132,39
125,135,132,40
126,134,133,41
127,133,133,42
128,132,134,44
129,130,134,45
130,129,134,46
131,127,134,47
132,126,135,48
133,125,135,49
134,124,136,50
135,122,136,51
136,121,136,53
137,119,136,54
138,118,137,55
139,117,137,56
140,116,137,58
141,114,137,59
142,113,138,60
143,111,138,61
144,110,138,63
145,109,138,64
146,108,139,65
147,106,139,66
148,105,139,68
149,103,139,69
150,102,140,71
151,101,140,72
152,100,140,73
153,98,140,74
154,97,141,76
155,95,141,77
156,94,141,79
157,93,141,80
158,92,141,81
159,90,141,82
160,89,142,84
161,88,142,85
162,87,142,87
163,85,142,88
164,84,142,90
165,82,142,91
166,81,142,92
167,80,142,93
168,79,142,95
169,77,142,96
170,76,143,98
171,75,143,99
172,74,143,101
173,72,143,102
174,71,143,104
175,70,143,105
176,69,143,106
177,67,143,107
178,66,143,109
179,65,143,110
180,64,143,112
181,63,143,113
182,62,143,115
183,61,143,116
184,60,143,117
185,58,143,118
186,57,143,120
187,56,143,121
188,55,143,123
189,54,143,124
190,53,143,126
191,52,143,127
192,52,143,128
193,51,143,129
194,50,143,131
195,49,143,132
196,49,143,134
197,48,143,135
198,47,143,136
199,46,143,137
200,46,143,139
201,46,142,140
202,46,142,141
203,45,142,142
204,45,142,144
205,45,142,145
206,45,142,146
207,45,142,147
208,45,142,149
209,45,141,150
210,46,141,151
211,46,141,152
212,47,141,154
213,47,141,155
214,48,141,156
215,49,140,157
216,50,140,158
217,50,140,159
218,51,140,160
219,52,139,161
220,53,139,162
221,54,139,163
222,56,139,165
223,57,138,165
224,58,138,166
225,59,138,167
226,61,138,168
227,62,137,169
228,64,137,170
229,65,137,171
230,67,137,172
231,68,136,173
232,70,136,174
233,71,135,174
234,73,135,175
235,75,135,176
236,77,135,177
237,78,134,177
238,80,134,178
239,82,133,179
240,84,133,180
241,85,132,180
242,87,132,181
243,89,132,181
244,91,132,182
245,92,131,182
246,94,131,183
247,96,130,183
248,98,130,184
249,100,129,184
250,102,129,185
251,104,128,185
252,106,128,186
253,107,127,186
254,109,127,187
255,111,126,187
256,113,126,188
257,115,125,188
258,117,125,188
259,119,124,188
260,121,123,189
261,123,122,189
262,125,122,189
263,127,121,189
264,129,121,189
265,130,120,189
266,132,120,190
267,134,119,190
268,136,118,190
269,138,117,190
270,140,117,190
271,142,116,190
272,144,116,190
273,145,115,189
274,147,114,189
275,149,113,189
276,151,113,189
277,153,112,189
278,155,111,189
279,156,110,188
280,158,109,188
281,160,108,188
282,162,108,188
283,163,107,187
284,165,106,187
285,167,105,186
286,169,105,186
287,170,104,185
288,172,103,185
289,174,102,184
290,176,101,184
291,177,100,183
292,179,99,183
293,180,98,182
294,182,97,182
295,184,96,181
296,186,95,181
297,187,94,180
298,189,93,180
299,190,92,179
300,192,91,178
301,193,90,177
302,195,89,177
303,196,88,176
304,198,87,175
305,199,86,174
306,201,85,174
307,202,84,173
308,204,83,172
309,205,82,171
310,206,81,170
311,207,80,169
312,209,79,168
313,210,78,167
314,211,77,167
315,212,76,166
316,214,75,165
317,215,73,164
318,216,72,163
319,217,71,162
320,219,70,161
321,220,69,159
322,221,68,158
323,222,67,157
324,223,66,156
325,224,64,155
326,225,63,154
327,226,62,153
328,227,61,152
329,228,60,150
330,229,59,149
331,230,58,148
332,231,57,147
333,232,56,146
334,233,55,145
335,233,54,143
336,234,53,142
337,235,51,141
338,236,50,140
339,236,49,138
340,237,48,137
341,237,47,136
342,238,47,135
343,239,46,133
344,240,45,132
345,240,44,131
346,241,43,130
347,241,42,128
348,242,42,127
349,242,41,125
350,243,40,124
351,243,39,123
352,243,39,122
353,243,38,120
354,244,38,119
355,244,37,118
356,245,37,117
357,245,37,115
358,245,37,114
359,245,37,112
