Subject,Distance_deg,Bias_deg
0,11.25,1.9458493411540985
0,27.0,4.93506947517395
0,42.75,6.047186559438705
0,58.5,5.583899388313293
0,74.25,5.631030542850494
0,90.0,2.284205895662308
1,11.25,1.5329250907897949
1,27.0,4.273593878746032
1,42.75,6.850334206819534
1,58.5,5.407214770317077
1,74.25,7.017686893939972
1,90.0,4.254066586494446
2,11.25,1.6606971406936646
2,27.0,5.105068875551224
2,42.75,6.109219275712967
2,58.5,7.014429271221161
2,74.25,4.9780777490139005
2,90.0,3.6232873249053954
3,11.25,2.4590793359279632
3,27.0,4.985040934085846
3,42.75,7.508160483837128
3,58.5,6.527158787250519
3,74.25,5.183063173294068
3,90.0,3.8895810973644256
4,11.25,1.9930350649356843
4,27.0,4.170669778585434
4,42.75,7.613341488838196
4,58.5,8.101922097206115
4,74.25,5.063314515352249
4,90.0,3.4804740715026856
5,11.25,2.408133499622345
5,27.0,3.7716715490818022
5,42.75,6.7875198864936825
5,58.5,7.105988780260086
5,74.25,6.4800275182724
5,90.0,2.4443461763858796
6,11.25,2.0784671568870543
6,27.0,4.971587375402451
6,42.75,7.1250701582431795
6,58.5,6.342647145986557
6,74.25,6.538802824020386
6,90.0,4.6822551918029784
7,11.25,1.7484128046035767
7,27.0,3.58161598443985
7,42.75,6.618217306137085
7,58.5,7.195126332044602
7,74.25,7.575513706207276
7,90.0,1.986713594198227
8,11.25,1.8783557844161987
8,27.0,4.327631802558899
8,42.75,5.8203346014022825
8,58.5,7.897521142959595
8,74.25,6.525571240186691
8,90.0,3.352367824316025
9,11.25,1.462924325466156
9,27.0,4.204790585041046
9,42.75,7.246239316463471
9,58.5,7.108941369056701
9,74.25,6.302116998434067
9,90.0,3.12632409453392
